빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"<b>AI</b>교과서 채택률, 초&gt;중&gt;고 順…초4 영어 가장 높았다",https://www.yna.co.kr/view/AKR20250318122100530?input=1195m,https://n.news.naver.com/mnews/article/001/0015273119?sid=102,올해 1학기 초등학교 <b>AI</b>교과서 채택률 30% 육박…고1은 23∼24% 전국 학교 채택률 32.4%…대구 98.1% vs 세종 9.5% '지역별 격차' 중·고등학교보다는 초등학교에서 인공지능(<b>AI</b>) 디지털교과서를 채택하는 비율이... ,"Wed, 19 Mar 2025 05:55:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"SK하이닉스, 엔비디아 GTC 2025 참가…&quot;<b>AI</b> 메모리 전시&quot;",https://www.newsis.com/view/NISX20250318_0003103555,https://n.news.naver.com/mnews/article/003/0013127381?sid=101,SK하이닉스가 엔비디아가 주최하는 세계 최대 <b>AI</b>(인공지능) 개발자 컨퍼런스에 참가해 <b>AI</b> 시대를 이끌 다양한 메모리 제품을 전시한다고 19일 밝혔다. SK하이닉스는 17~21일(현지 시간) 미국 새너제이에서... ,"Wed, 19 Mar 2025 05:00:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,문체부 '2025 <b>AI</b>-저작권 재도개선 협의체' 발족,https://www.yna.co.kr/view/AKR20250319153200005?input=1195m,https://n.news.naver.com/mnews/article/001/0015275434?sid=103,3개 분과로 <b>AI</b>저작권 정책방향 논의…위원 38명 참여 문화체육관광부와 한국저작권위원회는 19일 서울 종로구 국립현대미술관 서울관에서 '2025 인공지능(<b>AI</b>)-저작권 제도개선 협의체'를 발족했다고 밝혔다. 협의체는... ,"Wed, 19 Mar 2025 18:29:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"&quot;내년 나올 루빈, 호퍼보다 성능 900배에 비용은 3% 불과&quot; [<b>AI</b> 반도체 독...",http://www.fnnews.com/news/202503191826388456,https://n.news.naver.com/mnews/article/014/0005323428?sid=105,엔비디아가 오는 2028년까지 총 4개의 새로운 인공지능(<b>AI</b>) 칩을 내놓겠다는 로드맵을 18일(현지시간) 제시했다. 올 하반기 자사의 <b>AI</b> 칩 '블랙웰'의 업그레이드 버전 블랙웰 그레이스를 시작으로 오는 2028년에... ,"Wed, 19 Mar 2025 18:27:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,엔비디아 &quot;2028년 새로운 <b>AI</b>칩 출시&quot;…로드맵 공개,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202503190233&t=NN,https://n.news.naver.com/mnews/article/215/0001202370?sid=004,2028년까지 <b>AI</b> 칩 로드맵을 공개했다. 엔비디아는 지난해부터 블랙웰을 출시했고 내년 '루빈'이라는 새 <b>AI</b> 칩을 출시하겠다고 지난해 6월 발표했다. 이날 황CEO는 이에 대한 구체적 계획을 밝혔다. 올해 하반기부터... ,"Wed, 19 Mar 2025 07:35:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,젠슨황 <b>AI</b> 컴퓨팅 성능 100배 높인다…차세대 <b>AI</b> 칩셋 3종 공개,https://view.asiae.co.kr/article/2025031909314385947,https://n.news.naver.com/mnews/article/277/0005563353?sid=101,젠슨 황 엔비디아 최고경영자(CEO)가 18일(현지시간) &quot;인공지능(<b>AI</b>)이 인간을 위한 에이전트로 진화하기 위해선 지금보다 최소 100배 이상의 컴퓨팅 파워가 요구된다&quot;며 <b>AI</b> 칩 성장 전망을 낙관했다. 중국 딥시크 출현... ,"Wed, 19 Mar 2025 11:40:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,<b>AI</b> 디지털교과서 채택률 대구 98.1% 최고…전국적으로 30% 웃돌아,https://www.imaeil.com/page/view/2025031916584288399,https://n.news.naver.com/mnews/article/088/0000936931?sid=100,교육부가 올해부터 도입한 인공지능(<b>AI</b>) 교과서 채택률이 전국에서 대구(98.1%)가 가장 높은 것으로... 이상의 <b>AI</b>교과서를 선정한 학교는 전국 1만1천932개 초·중·고교의 32.4%에 해당하는 3천870곳이었다. 시도별로는... ,"Wed, 19 Mar 2025 17:03:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"허사비스 “인간 수준 <b>AI</b>, 5∼10년 내 등장”",http://www.segye.com/newsView/20250318515396?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0004020082?sid=104,인공지능(<b>AI</b>) 조직인 구글 딥마인드 최고경영자(CEO) 데미스 허사비스(사진)는 인간과 같은 수준의 <b>AI</b>가 “향후 5∼10년 안에 등장할 것”이라고 17일(현지시간) 전망했다. 허사비스는 이날 런던 구글 딥마인드 본사에서... ,"Tue, 18 Mar 2025 23:02:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,"하이닉스, <b>AI</b>용 초고속 12단 HBM4 세계 최초 공급",https://www.khan.co.kr/article/202503192035015,https://n.news.naver.com/mnews/article/032/0003357744?sid=101,"SK하이닉스가 업계 처음으로 인공지능(<b>AI</b>)용 초고성능 D램 신제품인 6세대 고대역폭메모리(HBM4) 12단... 엔비디아의 주력 <b>AI</b> 칩인 블랙웰에는 HBM3E가, 내년에 출시될 차세대 칩 루빈에는 HMB4가 들어간다. HBM4 12단... ","Wed, 19 Mar 2025 20:41:00 +0900"
"Wed, 19 Mar 2025 20:57:32 +0900",3997414,11,10,노태문 삼성 사장 &quot;갤럭시 <b>AI</b>로 中 시장 점유율 끌어올릴 것&quot;,https://www.newsis.com/view/NISX20250319_0003104645,https://n.news.naver.com/mnews/article/003/0013128765?sid=105,삼성전자 스마트폰 사업을 이끌고 있는 노태문 삼성전자 MX사업부장(사장)이 인공지능(<b>AI</b>) 기술 경쟁력을... 여러 <b>AI</b> 업체나 IT 업체들과 긴밀하게 협업하고 있다&quot;며 &quot;중국 만의 특수한 유통 채널에 대해서도 해당 분야... ,"Wed, 19 Mar 2025 14:16:00 +0900"
