시군명,기준년도,기준분기,대상자수,신청자수
구리시,2023,1,2094,2052
안성시,2023,1,1784,1798
포천시,2023,1,1460,1349
의왕시,2023,1,1895,1761
여주시,2023,1,995,1014
양평군,2023,1,771,740
동두천시,2023,1,876,835
과천시,2023,1,759,771
가평군,2023,1,404,400
연천군,2023,1,311,257
수원시,2023,2,14065,12052
고양시,2023,2,11428,10391
용인시,2023,2,11257,10442
성남시,2023,2,9491,8505
부천시,2023,2,8525,8166
안산시,2023,2,8255,7881
화성시,2023,2,8078,7651
남양주시,2023,2,6957,6668
안양시,2023,2,6021,5924
평택시,2023,2,5484,5305
의정부시,2023,2,4996,4743
파주시,2023,2,4617,4278
시흥시,2023,2,5353,5039
김포시,2023,2,3760,3544
광명시,2023,2,2904,2914
광주시,2023,2,3642,3405
군포시,2023,2,3027,2996
이천시,2023,2,2152,2101
오산시,2023,2,2231,2106
하남시,2023,2,2497,2379
양주시,2023,2,2385,2225
구리시,2023,2,2064,1999
안성시,2023,2,1728,1671
포천시,2023,2,1374,1262
의왕시,2023,2,1758,1579
여주시,2023,2,980,916
양평군,2023,2,747,710
동두천시,2023,2,871,794
과천시,2023,2,764,768
가평군,2023,2,418,381
연천군,2023,2,337,277
수원시,2023,3,13884,11598
고양시,2023,3,11382,9152
용인시,2022,3,11413,10784
성남시,2022,3,9993,9134
부천시,2022,3,9112,8726
안산시,2022,3,8790,8261
화성시,2022,3,7943,7634
남양주시,2022,3,7271,6829
안양시,2022,3,6324,6130
평택시,2022,3,5753,5456
의정부시,2022,3,5243,5022
파주시,2022,3,4672,4404
시흥시,2022,3,5656,5402
김포시,2022,3,3776,3646
광명시,2022,3,3152,3084
광주시,2022,3,3681,3446
군포시,2022,3,3055,2983
이천시,2022,3,2148,2013
오산시,2022,3,2398,2284
하남시,2022,3,2565,2377
양주시,2022,3,2276,2140
구리시,2022,3,2219,2105
안성시,2022,3,1803,1732
포천시,2022,3,1537,1384
의왕시,2022,3,1915,1823
여주시,2022,3,984,947
양평군,2022,3,767,736
동두천시,2022,3,980,889
과천시,2022,3,811,828
가평군,2022,3,472,451
연천군,2022,3,334,279
수원시,2022,4,14606,13808
고양시,2022,4,11821,10729
용인시,2022,4,11210,10539
성남시,2022,4,9985,9148
부천시,2022,4,8904,8630
안산시,2022,4,8577,8325
화성시,2022,4,7862,7764
남양주시,2022,4,7117,6557
안양시,2022,4,6260,6080
평택시,2022,4,5647,5324
의정부시,2022,4,5104,4863
파주시,2022,4,4666,4349
시흥시,2022,4,5602,5323
김포시,2022,4,3775,3650
광명시,2022,4,3127,3088
광주시,2022,4,3693,3493
군포시,2022,4,3079,3007
이천시,2022,4,2113,1978
오산시,2022,4,2359,2172
하남시,2022,4,2489,2354
양주시,2022,4,2259,2127
구리시,2022,4,2154,2071
안성시,2022,4,1800,1741
포천시,2022,4,1500,1363
의왕시,2022,4,1880,1784
여주시,2022,4,975,941
양평군,2022,4,762,730
동두천시,2022,4,936,851
과천시,2022,4,815,805
가평군,2022,4,431,402
연천군,2022,4,335,268
수원시,2022,1,14833,15240
고양시,2022,1,11994,11770
용인시,2022,1,11269,11305
성남시,2022,1,10201,9730
부천시,2022,1,9438,9547
안산시,2022,1,9128,8950
화성시,2022,1,8103,8058
남양주시,2022,1,7331,7191
안양시,2022,1,6516,6659
평택시,2022,1,5665,5639
의정부시,2022,1,5428,5556
파주시,2022,1,4652,4579
시흥시,2022,1,5707,5631
김포시,2022,1,3710,3825
광명시,2022,1,3201,3241
광주시,2022,1,3648,3681
군포시,2022,1,3082,3167
이천시,2022,1,2165,2134
오산시,2022,1,2406,2471
하남시,2022,1,2573,2611
양주시,2022,1,2297,2297
구리시,2022,1,2267,2295
안성시,2022,1,1757,1861
포천시,2022,1,1508,1459
의왕시,2022,1,1922,1884
여주시,2022,1,959,996
양평군,2022,1,785,818
동두천시,2022,1,970,880
과천시,2022,1,846,850
가평군,2022,1,495,494
연천군,2022,1,368,356
수원시,2022,2,14768,14700
고양시,2022,2,12072,11411
용인시,2022,2,11385,11247
성남시,2022,2,10066,9505
부천시,2022,2,9276,9191
안산시,2022,2,9021,8693
화성시,2022,2,8000,7912
남양주시,2022,2,7304,7045
안양시,2022,2,6398,6487
평택시,2022,2,5803,5659
의정부시,2022,2,5259,5282
파주시,2022,2,4637,4505
시흥시,2022,2,5730,5555
김포시,2022,2,3676,3706
광명시,2022,2,3201,3238
광주시,2022,2,3643,3584
군포시,2022,2,3068,3065
이천시,2022,2,2208,2156
오산시,2022,2,2449,2379
하남시,2022,2,2522,2481
양주시,2022,2,2281,2236
구리시,2022,2,2249,2208
안성시,2022,2,1792,1842
포천시,2022,2,1545,1449
의왕시,2022,2,1944,1902
여주시,2022,2,978,992
양평군,2022,2,786,812
동두천시,2022,2,968,896
과천시,2022,2,858,876
가평군,2022,2,472,461
연천군,2022,2,370,315
수원시,2022,3,14593,13951
고양시,2022,3,12009,11004
수원시,2021,1,15289,14532
고양시,2021,1,12664,12571
용인시,2021,1,11244,11172
성남시,2021,1,10504,10207
부천시,2021,1,9933,9999
안산시,2021,1,9520,9066
화성시,2021,1,7520,7275
남양주시,2021,1,7291,7037
안양시,2021,1,6761,6802
평택시,2021,1,5473,5384
의정부시,2021,1,5316,5138
파주시,2021,1,4441,4296
시흥시,2021,1,5696,5386
김포시,2021,1,3692,3708
광명시,2021,1,3176,3236
광주시,2021,1,3847,3676
군포시,2021,1,3250,3235
이천시,2021,1,2209,2134
남양주시,2021,2,7213,6806
안양시,2021,2,6807,6642
평택시,2021,2,5416,5242
의정부시,2021,2,5437,5217
파주시,2021,2,4428,4304
시흥시,2021,2,5586,5371
김포시,2021,2,3716,3619
