peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
10089612,홍수동,HONG SOO DONG,DI팀,"부전시장|슈퍼스타X|보는 것을 사랑한다|니얼굴|무순, 세상을 가로질러|시호|카센타|수상한 이웃|청춘빌라 살인사건|돈 맛|매너선생님|챌린지 게임|알바생들|P.S. 걸|음란한 가족|공사중|나는 야한 여자가 좋다|설해|내비게이션|청춘학당 : 풍기문란 보쌈 야사|들개들|아티스트 봉만대|렛 미 아웃|가자, 장미여관으로|꼭두각시|롤플레이|스타: 빛나는 사랑|러브 콜|무산일기|워낭소리|우리 학교|안녕, 사요나라|송환|NAVI|가족|백일후엔|달, 실"
10037108,송수덕,SONG Soo-duk,사운드,"부전시장|그 겨울, 나는|마왕의 딸 이리샤|아워 바디|번개맨의 비밀|죄 많은 소녀|수성못|번개맨과 신비의 섬|산상수훈|연애담|나홀로 휴가|캠핑|양치기들|섬. 사라진 사람들|해에게서 소년에게|고녀석 맛나겠다2 : 함께라서 행복해|젊은엄마 : 내 나이가 어때서|피노 : 꿀벌의 노래|창백한 얼굴들|연애의 맛|살인캠프|쥬로링 동물탐정 극장판|관계|녀녀녀|롤플레이2 : 동침|멜로|우리는 그곳에 있었다|내가 고백을 하면|설마 그럴리가 없어|물고기|맛있는 인생|지금, 이대로가 좋아요|다섯은 너무 많아|집으로...|생일선물|기억의 재구성|나만 없어 고양이|시선 너머"
20157837,오수진,OH Su jin,음악,부전시장|다우렌의 결혼|아버지의 마음|파이터|개 같은 것들|사랑하고 있습니까|시호|쇠파리|혼자|베토벤 메들리|우리의 마지막 여름|설해|녹색의자 2013 - 러브 컨셉츄얼리|베드|생생활활|물고기|스타: 빛나는 사랑|저스트 프렌즈|라라 선샤인|갈 곳 없는|미메시스|물물교환|공허충|주관식 문제|그 카페
10072432,최승호,CHOI Seung-ho,제작,부전시장|강남좀비|게임의 법칙: 인간사냥|노리개: 그녀의 눈물|내게 남은 사랑을|사랑받지 못한 여자|커튼콜|워킹 스트리트|베토벤 메들리|노리개|노리개 무삭제 확장판|환타스틱 모던가야그머|헬로우 마이 러브
10062288,정진태,,캐스팅,부전시장|하로동선|착한 처제
10005072,김완동,KIM Wan-dong,동시녹음,"부전시장|룩앳미 터치미 키스미|죽이러 간다|아들의 이름으로|선샤인 패밀리|나의이름|이별식당|서치 아웃|더하우스|우키시마호|나를 기억해|우동 한 그릇|순풍어|질투의 역사|돌아와요 부산항애(愛)|탐하다: 욕망의 섬|마중: 커피숍 난동 수다 사건|커피 메이트|기억의 소리|썰만화|작은 형|덫: 치명적인 유혹|터치 바이 터치|공사중|태양을 쏴라|레쓰링|청춘학당 : 풍기문란 보쌈 야사|붉은 바캉스 검은 웨딩 2|연애의 기술|전망 좋은 집|줄탁동시|캐릭터|회초리|나쁜 놈이 더 잘 잔다|도쿄택시|나는 곤경에 처했다!|숙명|아내의 애인을 만나다|연애, 그 참을 수 없는 가벼움|모두들, 괜찮아요?|엄마|제니, 주노|여자는 남자의 미래다|어린 신부|별|블루|클래식|생활의 발견|2009로스트메모리즈|우렁각시|꽃섬|잎새|노랑머리 2|골뱅이@실명제|파란대문|가족|붉은 바캉스 검은 웨딩|무서운 이야기 2 '절벽'"
10072312,최석재,CHOI Seok-jea,조명,부전시장|하로동선|늙은 자전거|픽업 아티스트|막걸스|멜로|나는 행복합니다|무림여대생|흑심모녀|복면달호|가을로|다세포소녀|청연|그녀를 믿지 마세요|데우스 마키나 기계의 신|생활의 발견|소름|오! 수정|질주|얼굴|강원도의 힘|백문백답
20185958,안세진,AHN Se-jin,촬영,"부전시장|사선|매미소리|열혈형사|쇠파리|아빠가 돌아왔다|우리의 마지막 여름|안녕, 투이|콘돌은 날아간다"
10040501,신연철,Sin Yeon-cheol,프로듀서,"부전시장|피는 물보다 진하다|트웬티 해커|불량한 가족|여곡성|사랑하니까, 괜찮아|방문자|뚫어야 산다|시선 너머"
20372176,김시우,,감독,"부전시장|산복도로|하로동선|투란도트 어둠의 왕국|경계인|장농|경계, 머나먼 나라"
