도시,날짜,요일,오전 날씨,오후 날씨,오전 강수확률,오후 강수확률,최저 기온,최고 기온
서울,3.12.,오늘,흐림,구름많고 가끔 비,30%,60%,6°,11°
서울,3.13.,내일,맑음,구름많음,0%,20%,3°,14°
서울,3.14.,금,구름많음,구름많음,10%,20%,3°,17°
서울,3.15.,토,구름많음,흐림,20%,30%,6°,15°
서울,3.16.,일,흐리고 비/눈,흐리고 비/눈,60%,70%,3°,7°
서울,3.17.,월,맑음,구름많음,20%,20%,-1°,7°
서울,3.18.,화,흐리고 비/눈,흐리고 비/눈,60%,60%,0°,8°
서울,3.19.,수,구름많음,맑음,20%,10%,0°,8°
서울,3.20.,목,맑음,맑음,10%,10%,0°,11°
서울,3.21.,금,맑음,맑음,10%,10%,2°,13°
